Modelo_Auto,Ano_Auto,ID_Modelo,Pais_Venta,Continente_Venta,Marca_Auto,Segmento_Auto,Es_Electrico,Tipo_Transmision,Es_Nuevo,Unidades_Vendidas,Total_Ventas
Model 3,2015,F5069-66,Brasil,América,Tesla,Sedan,Sí,Automático,No,4618,22885566.81
F-150,2016,H2390-74,Italia,Europa,Ford,Pickup Grande,No,Automático,No,3272,130999209.61
Mustang,2020,Y4639-88,Francia,Europa,Ford,Deportivo,No,Automático,No,696,230036049.37
Silverado,2022,Q4905-57,Japón,Asia,Chevrolet,Pickup Grande,No,Manual,No,1476,20405421.16
Civic,2018,K5844-82,Corea del Sur,Asia,Honda,Compacto,No,Manual,No,4265,63921968.19
F-150,2019,O9747-27,México,América,Ford,Pickup Grande,No,Manual,No,2470,243683122.98
Sprinter,2024,Q9080-11,Reino Unido,Europa,Mercedes-Benz,Comercial,No,Automático,No,2637,12809574.35
Model 3,2016,T1721-31,Australia,Oceanía,Tesla,Sedan,Sí,Manual,No,1757,3061435.72
CX-5,2016,L6445-81,Japón,Asia,Mazda,SUV Compacto,No,Manual,No,2223,243300502.47
Kona,2023,I7052-73,Argentina,América,Hyundai,SUV Subcompacto,No,Automático,Sí,313,148058107.77
Kona,2021,C1609-48,Reino Unido,Europa,Hyundai,SUV Subcompacto,No,Automático,No,2584,88263182.32
Model 3,2021,P8716-86,Italia,Europa,Tesla,Sedan,Sí,Manual,No,464,67913220.73
Q5,2023,R7769-42,India,Asia,Audi,SUV Premium,No,Manual,No,2016,167567875.79
C-Class,2015,T4732-83,Francia,Europa,Mercedes-Benz,Sedan Premium,No,Automático,No,4893,40908264.76
Fusion,2020,N7248-23,Australia,Oceanía,Ford,Sedan,No,Manual,No,1669,4022770.03
Model 3,2015,H9015-88,Alemania,Europa,Tesla,Sedan,Sí,Automático,No,3427,104544046.25
C-Class,2021,G9224-40,Japón,Asia,Mercedes-Benz,Sedan Premium,No,Manual,No,938,111808706.87
Cherokee,2019,D8746-51,Italia,Europa,Jeep,SUV Mediano,No,Manual,No,4595,234005275.08
Sprinter,2017,I8732-89,Brasil,América,Mercedes-Benz,Comercial,No,Automático,No,4334,105297675.38
Cherokee,2019,J7796-50,Argentina,América,Jeep,SUV Mediano,No,Manual,No,1098,204672806.41
Civic,2018,S5948-76,Canadá,América,Honda,Compacto,No,Manual,No,4094,22119821.92
Golf,2021,K4162-77,España,Europa,Volkswagen,Compacto,No,Manual,No,2657,177011268.61
Corolla,2017,H8168-98,Australia,Oceanía,Toyota,Compacto,No,Manual,No,3732,121607849.73
CX-5,2024,Q5291-67,Italia,Europa,Mazda,SUV Compacto,No,Automático,No,1917,235903150.14
RAV4,2019,S8926-97,Japón,Asia,Toyota,SUV Compacto,No,Automático,No,4523,102713405.26
C-Class,2016,D4107-82,Francia,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,2306,125996932.51
Camry,2016,J5049-92,México,América,Toyota,Sedan Mediano,No,Automático,No,908,221143359.0
CR-V,2019,Y7399-94,Corea del Sur,Asia,Honda,SUV Compacto,No,Manual,No,4316,61205665.19
Golf,2019,S2235-86,Japón,Asia,Volkswagen,Compacto,No,Manual,No,1349,112070879.0
3 Series,2021,Z2587-90,Brasil,América,BMW,Sedan Premium,No,Automático,No,2523,86277633.16
RAV4,2024,Q1790-92,Canadá,América,Toyota,SUV Compacto,No,Automático,Sí,1434,38380887.03
Cherokee,2015,Z3216-72,Japón,Asia,Jeep,SUV Mediano,No,Manual,No,1791,6637145.37
Silverado,2020,K5505-26,España,Europa,Chevrolet,Pickup Grande,No,Manual,No,4952,220643410.43
CR-V,2015,K8882-11,Reino Unido,Europa,Honda,SUV Compacto,Sí,Automático,No,1542,132975335.26
Civic,2015,Y6575-14,Italia,Europa,Honda,Compacto,No,Automático,No,2285,149457342.78
CR-V,2017,U8866-36,Japón,Asia,Honda,SUV Compacto,No,Manual,No,244,183658995.9
Golf,2016,H2221-83,Japón,Asia,Volkswagen,Compacto,No,Manual,No,2050,73559047.83
Q5,2018,J2516-46,Sudáfrica,África,Audi,SUV Premium,Sí,Manual,No,2280,19154172.68
Sprinter,2016,S9261-69,Alemania,Europa,Mercedes-Benz,Comercial,No,Automático,No,1159,68969271.61
C-Class,2017,R6004-50,Estados Unidos,América,Mercedes-Benz,Sedan Premium,No,Manual,No,1638,124591666.64
Camry,2023,Z7109-45,Reino Unido,Europa,Toyota,Sedan Mediano,No,Manual,Sí,1895,162856349.91
Tucson,2024,G5245-10,Francia,Europa,Hyundai,SUV Compacto,No,Automático,Sí,2172,23297861.17
Camry,2024,D6509-24,México,América,Toyota,Sedan Mediano,No,Manual,Sí,70,85463185.21
Sprinter,2017,V5993-24,Sudáfrica,África,Mercedes-Benz,Comercial,No,Automático,No,2630,243218895.45
Focus,2022,X5875-63,Estados Unidos,América,Ford,Compacto,No,Manual,No,4289,150574775.05
Mustang,2020,H7492-73,Australia,Oceanía,Ford,Deportivo,No,Manual,No,158,235366594.5
Q5,2021,U1544-67,México,América,Audi,SUV Premium,No,Manual,No,1763,201832828.24
Sprinter,2017,E8731-64,México,América,Mercedes-Benz,Comercial,No,Manual,No,1179,73752438.35
CR-V,2023,V6006-96,Brasil,América,Honda,SUV Compacto,No,Automático,Sí,474,120087595.9
Tucson,2015,B6930-24,Estados Unidos,América,Hyundai,SUV Compacto,No,Automático,No,1272,156470173.53
Fusion,2015,P7608-60,Canadá,América,Ford,Sedan,No,Automático,No,4086,7034352.52
Sprinter,2022,A8544-84,Estados Unidos,América,Mercedes-Benz,Comercial,No,Automático,No,2580,132670913.87
3 Series,2022,S3143-37,China,Asia,BMW,Sedan Premium,No,Manual,No,448,238419601.97
F-150,2016,M7700-21,Corea del Sur,Asia,Ford,Pickup Grande,No,Manual,No,864,221220060.27
Civic,2021,A4624-81,México,América,Honda,Compacto,No,Automático,No,3744,188253587.45
F-150,2016,G2478-70,Australia,Oceanía,Ford,Pickup Grande,No,Manual,No,3536,15475754.58
Kona,2020,I6990-79,India,Asia,Hyundai,SUV Subcompacto,No,Manual,No,239,89923612.86
Mustang,2024,Q2938-45,Alemania,Europa,Ford,Deportivo,No,Automático,Sí,738,72873300.92
Sprinter,2023,K9453-62,Francia,Europa,Mercedes-Benz,Comercial,No,Manual,Sí,1591,122392468.04
RAV4,2017,N2893-95,Italia,Europa,Toyota,SUV Compacto,No,Automático,No,1560,21830974.08
Fusion,2017,N7539-40,Estados Unidos,América,Ford,Sedan,No,Manual,No,1516,177624217.6
3 Series,2024,Y1315-75,Francia,Europa,BMW,Sedan Premium,No,Automático,Sí,65,82394805.26
F-150,2020,H3813-81,Corea del Sur,Asia,Ford,Pickup Grande,No,Manual,No,3885,241434161.33
Fusion,2023,N8991-46,Japón,Asia,Ford,Sedan,No,Automático,Sí,2192,40541022.53
Fusion,2015,U4536-85,China,Asia,Ford,Sedan,No,Automático,No,3560,20123435.9
Focus,2024,J3113-34,Corea del Sur,Asia,Ford,Compacto,No,Automático,Sí,1200,97922209.81
Fusion,2020,Q8382-41,Corea del Sur,Asia,Ford,Sedan,No,Automático,No,4733,39806850.44
CR-V,2024,T4391-51,Sudáfrica,África,Honda,SUV Compacto,No,Manual,Sí,2241,90053413.69
Kona,2020,W1467-72,Argentina,América,Hyundai,SUV Subcompacto,No,Automático,No,4011,140568106.47
CX-5,2024,H6503-38,Reino Unido,Europa,Mazda,SUV Compacto,No,Automático,Sí,4898,4701422.31
Civic,2019,Q4241-50,Japón,Asia,Honda,Compacto,No,Manual,No,2953,112087760.77
3 Series,2021,P1746-72,Estados Unidos,América,BMW,Sedan Premium,No,Manual,No,4637,20689963.96
Mustang,2021,F5899-68,Canadá,América,Ford,Deportivo,No,Manual,No,395,105467407.09
Silverado,2021,T7397-24,Corea del Sur,Asia,Chevrolet,Pickup Grande,No,Automático,No,2528,208309713.16
C-Class,2024,N2280-30,Canadá,América,Mercedes-Benz,Sedan Premium,No,Manual,Sí,2524,73051569.22
C-Class,2020,Z2020-99,Reino Unido,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,3998,205950018.13
CR-V,2018,H2797-26,Australia,Oceanía,Honda,SUV Compacto,No,Automático,No,3086,152549901.16
C-Class,2022,A8931-67,Italia,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,1513,40350763.53
F-150,2018,H9551-77,Italia,Europa,Ford,Pickup Grande,No,Automático,No,153,202772375.23
Focus,2021,U4881-18,Alemania,Europa,Ford,Compacto,No,Manual,No,2910,27822999.14
CR-V,2020,J2734-83,Alemania,Europa,Honda,SUV Compacto,No,Automático,No,1452,150451690.28
Silverado,2015,B7767-29,Brasil,América,Chevrolet,Pickup Grande,No,Automático,No,3879,135662597.93
Civic,2017,B4032-51,Francia,Europa,Honda,Compacto,No,Manual,No,2446,202497704.63
Golf,2023,M5765-28,Estados Unidos,América,Volkswagen,Compacto,No,Automático,No,4926,107057335.85
CR-V,2024,B6026-66,Brasil,América,Honda,SUV Compacto,Sí,Manual,No,1840,151711297.83
Model 3,2022,V3057-35,Canadá,América,Tesla,Sedan,Sí,Manual,No,1026,43981459.43
Camry,2016,V6579-79,Alemania,Europa,Toyota,Sedan Mediano,No,Manual,No,483,160945226.74
CR-V,2017,R9204-39,Estados Unidos,América,Honda,SUV Compacto,No,Manual,No,2763,113429682.48
Silverado,2023,V5285-73,Australia,Oceanía,Chevrolet,Pickup Grande,No,Manual,Sí,3262,244099289.91
Fusion,2024,T2477-82,Italia,Europa,Ford,Sedan,No,Manual,Sí,4750,224415411.75
Civic,2024,J3955-21,Australia,Oceanía,Honda,Compacto,No,Manual,Sí,3277,21830155.07
Fusion,2019,W4701-30,Corea del Sur,Asia,Ford,Sedan,No,Automático,No,4241,150419335.95
Focus,2019,D3395-48,Francia,Europa,Ford,Compacto,No,Manual,No,4144,172882064.71
Silverado,2017,H1810-68,México,América,Chevrolet,Pickup Grande,No,Automático,No,4172,143784666.51
3 Series,2019,J1560-55,España,Europa,BMW,Sedan Premium,Sí,Manual,No,532,231869946.27
Camry,2017,L3597-21,China,Asia,Toyota,Sedan Mediano,Sí,Manual,No,4116,64335529.39
F-150,2016,T1104-64,Corea del Sur,Asia,Ford,Pickup Grande,No,Automático,No,1662,169042213.7
Mustang,2017,U2105-82,China,Asia,Ford,Deportivo,No,Automático,No,1960,124574680.31
Tucson,2024,R4263-60,Alemania,Europa,Hyundai,SUV Compacto,No,Manual,Sí,2519,39458059.09
CX-5,2017,I1190-91,Brasil,América,Mazda,SUV Compacto,No,Manual,No,4481,87264177.93
C-Class,2018,B8538-62,Brasil,América,Mercedes-Benz,Sedan Premium,No,Manual,No,3090,177809809.03
Camry,2019,J7116-36,Corea del Sur,Asia,Toyota,Sedan Mediano,No,Automático,No,2433,233000358.68
Sprinter,2023,E3182-42,India,Asia,Mercedes-Benz,Comercial,Sí,Manual,Sí,2794,195731021.39
Silverado,2019,E1279-84,Estados Unidos,América,Chevrolet,Pickup Grande,No,Manual,No,3275,100933935.26
Silverado,2023,M3843-52,España,Europa,Chevrolet,Pickup Grande,No,Automático,Sí,1336,100511724.49
Tucson,2024,L1406-41,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,Sí,2226,159004241.26
Model 3,2019,Z2198-93,China,Asia,Tesla,Sedan,Sí,Manual,No,601,11763402.21
Civic,2022,I8296-46,Estados Unidos,América,Honda,Compacto,No,Automático,No,3405,163855260.9
RAV4,2017,D5189-40,Alemania,Europa,Toyota,SUV Compacto,Sí,Automático,No,2475,180878132.7
CX-5,2023,T9322-59,Francia,Europa,Mazda,SUV Compacto,No,Automático,Sí,1889,89362462.68
Golf,2024,W8324-11,Estados Unidos,América,Volkswagen,Compacto,No,Automático,Sí,951,200025939.5
Camry,2023,B1170-32,Sudáfrica,África,Toyota,Sedan Mediano,No,Automático,Sí,1679,135055195.3
Corolla,2016,J8528-20,Italia,Europa,Toyota,Compacto,No,Automático,No,2246,29318095.27
Model 3,2018,N5280-21,Corea del Sur,Asia,Tesla,Sedan,Sí,Manual,No,60,14156717.58
Camry,2024,P6640-28,Estados Unidos,América,Toyota,Sedan Mediano,No,Automático,Sí,3324,202743656.81
CR-V,2020,A5268-63,Italia,Europa,Honda,SUV Compacto,No,Manual,No,2385,148236792.36
Tucson,2015,N3137-87,Alemania,Europa,Hyundai,SUV Compacto,Sí,Automático,No,3342,208098608.58
F-150,2024,G9620-85,México,América,Ford,Pickup Grande,No,Automático,Sí,4480,87366629.03
Fusion,2023,U2319-86,Corea del Sur,Asia,Ford,Sedan,No,Automático,No,4056,48347805.77
Sprinter,2020,K9327-72,España,Europa,Mercedes-Benz,Comercial,No,Automático,No,1348,82300362.07
Mustang,2018,A7291-56,Australia,Oceanía,Ford,Deportivo,No,Manual,No,1172,171824282.3
Corolla,2018,U8279-18,Alemania,Europa,Toyota,Compacto,No,Manual,No,289,93377216.03
Camry,2021,D6368-17,India,Asia,Toyota,Sedan Mediano,No,Automático,No,93,53876867.58
3 Series,2021,Y4373-90,Argentina,América,BMW,Sedan Premium,No,Manual,No,2145,215576788.09
Model 3,2015,H7044-48,Italia,Europa,Tesla,Sedan,Sí,Manual,No,1551,101383812.49
Cherokee,2019,Z5173-73,Argentina,América,Jeep,SUV Mediano,No,Manual,No,2463,32173007.29
Corolla,2018,M2693-53,Italia,Europa,Toyota,Compacto,No,Manual,No,1291,165505366.23
Civic,2017,C4421-86,Argentina,América,Honda,Compacto,No,Automático,No,430,163986877.16
CR-V,2015,E9419-53,España,Europa,Honda,SUV Compacto,No,Automático,No,2965,125091200.18
Silverado,2019,N4665-82,Italia,Europa,Chevrolet,Pickup Grande,No,Manual,No,2920,20936470.73
C-Class,2018,L3438-58,Argentina,América,Mercedes-Benz,Sedan Premium,No,Automático,No,3913,87729338.53
Camry,2019,S2894-70,Reino Unido,Europa,Toyota,Sedan Mediano,No,Automático,No,1653,141949460.96
Golf,2021,D8028-46,Italia,Europa,Volkswagen,Compacto,No,Automático,No,3698,168753978.97
RAV4,2015,A5041-79,Brasil,América,Toyota,SUV Compacto,No,Manual,No,2683,89766651.34
RAV4,2021,R7875-76,España,Europa,Toyota,SUV Compacto,No,Automático,No,1632,140188486.67
Focus,2021,X9556-89,Brasil,América,Ford,Compacto,No,Manual,No,398,110917327.84
RAV4,2022,G1405-24,Alemania,Europa,Toyota,SUV Compacto,No,Manual,No,2594,232610951.59
Civic,2018,E5222-48,Canadá,América,Honda,Compacto,No,Manual,No,2792,246674872.38
Fusion,2024,B8074-73,Alemania,Europa,Ford,Sedan,No,Manual,Sí,1325,85856369.83
3 Series,2017,Q8716-41,India,Asia,BMW,Sedan Premium,No,Automático,No,2137,189613056.78
Tucson,2023,E7442-47,Australia,Oceanía,Hyundai,SUV Compacto,No,Manual,Sí,3118,3628460.76
Mustang,2015,K3671-38,Canadá,América,Ford,Deportivo,No,Automático,No,472,92589134.81
Golf,2019,Y4667-96,Italia,Europa,Volkswagen,Compacto,No,Manual,No,780,235381009.59
Camry,2023,O8290-52,Canadá,América,Toyota,Sedan Mediano,No,Automático,Sí,3612,202967711.54
Sprinter,2016,M9669-60,Canadá,América,Mercedes-Benz,Comercial,No,Manual,No,3175,59715759.19
Corolla,2015,Y8276-27,Australia,Oceanía,Toyota,Compacto,No,Manual,No,2592,241456131.69
Golf,2024,A9627-33,Alemania,Europa,Volkswagen,Compacto,No,Manual,Sí,2433,44822586.93
C-Class,2024,V7416-23,Australia,Oceanía,Mercedes-Benz,Sedan Premium,No,Manual,Sí,2678,22145371.44
Fusion,2020,Z7562-51,Reino Unido,Europa,Ford,Sedan,No,Manual,No,1577,124671822.8
Civic,2017,V8975-12,Reino Unido,Europa,Honda,Compacto,No,Automático,No,3903,55901932.85
Tucson,2023,O4873-27,India,Asia,Hyundai,SUV Compacto,No,Automático,Sí,3368,97560854.36
Mustang,2019,R8421-80,México,América,Ford,Deportivo,No,Automático,No,889,85690469.65
Model 3,2023,G3724-13,Japón,Asia,Tesla,Sedan,Sí,Automático,Sí,1268,80579651.79
Q5,2020,R9594-30,Canadá,América,Audi,SUV Premium,No,Manual,No,3328,150748432.27
Corolla,2020,S1625-47,México,América,Toyota,Compacto,No,Automático,No,1706,26083221.29
Golf,2022,Q6875-46,México,América,Volkswagen,Compacto,No,Manual,No,3591,107331246.62
CX-5,2023,D2831-80,Brasil,América,Mazda,SUV Compacto,No,Manual,Sí,1525,94558924.22
CR-V,2016,R1577-72,Sudáfrica,África,Honda,SUV Compacto,Sí,Automático,No,3765,38879685.28
Kona,2019,K5231-11,Estados Unidos,América,Hyundai,SUV Subcompacto,No,Manual,No,4609,117949334.19
Golf,2021,X4440-70,Australia,Oceanía,Volkswagen,Compacto,No,Automático,No,1692,53414750.49
Focus,2020,Y1767-61,Alemania,Europa,Ford,Compacto,No,Manual,No,4472,59466150.9
3 Series,2015,S1137-11,India,Asia,BMW,Sedan Premium,No,Manual,No,761,144500629.6
C-Class,2015,N4238-90,Corea del Sur,Asia,Mercedes-Benz,Sedan Premium,No,Automático,No,1621,191532860.0
Camry,2017,Y9247-74,Italia,Europa,Toyota,Sedan Mediano,No,Manual,No,2431,50582043.63
CX-5,2016,Y1920-35,Sudáfrica,África,Mazda,SUV Compacto,No,Automático,No,1244,31152079.48
Civic,2023,M2133-46,España,Europa,Honda,Compacto,No,Automático,Sí,1015,156846894.84
Q5,2023,Q2813-54,España,Europa,Audi,SUV Premium,No,Manual,Sí,4763,31318245.69
Sprinter,2021,A7819-42,Italia,Europa,Mercedes-Benz,Comercial,No,Manual,No,4611,153935820.28
Q5,2023,F9962-80,Francia,Europa,Audi,SUV Premium,Sí,Manual,Sí,3574,145408564.44
F-150,2018,Q3419-49,China,Asia,Ford,Pickup Grande,No,Automático,No,204,207598366.62
C-Class,2023,W2570-72,Australia,Oceanía,Mercedes-Benz,Sedan Premium,No,Automático,No,1513,179944199.57
CR-V,2022,C2654-37,Alemania,Europa,Honda,SUV Compacto,No,Automático,No,2046,18645557.65
Golf,2021,S4113-95,Alemania,Europa,Volkswagen,Compacto,No,Manual,No,2003,63895164.45
3 Series,2023,Q8707-54,Brasil,América,BMW,Sedan Premium,No,Manual,Sí,2700,100834641.61
Civic,2018,W5331-91,Francia,Europa,Honda,Compacto,No,Automático,No,1301,92072539.54
Q5,2015,P1134-32,Argentina,América,Audi,SUV Premium,Sí,Manual,No,2976,221734088.56
Corolla,2023,Y5250-18,Japón,Asia,Toyota,Compacto,No,Manual,No,4387,114664973.9
CX-5,2019,B6937-14,Corea del Sur,Asia,Mazda,SUV Compacto,No,Automático,No,2789,105133889.52
Sprinter,2019,R8649-61,China,Asia,Mercedes-Benz,Comercial,No,Automático,No,3109,50806500.69
Mustang,2023,M9443-68,Japón,Asia,Ford,Deportivo,No,Automático,No,797,117318315.04
Model 3,2019,V2948-38,Francia,Europa,Tesla,Sedan,Sí,Automático,No,1288,222405837.22
3 Series,2023,C4289-81,India,Asia,BMW,Sedan Premium,No,Automático,Sí,3241,226121372.75
Focus,2019,Q2249-13,Argentina,América,Ford,Compacto,No,Manual,No,4598,223236808.02
RAV4,2020,O7381-31,Argentina,América,Toyota,SUV Compacto,Sí,Automático,No,1343,118993918.18
Silverado,2022,X6197-36,Francia,Europa,Chevrolet,Pickup Grande,No,Manual,No,2046,228390316.89
CR-V,2016,D3923-24,Brasil,América,Honda,SUV Compacto,No,Manual,No,79,214493678.75
Golf,2024,J1310-29,India,Asia,Volkswagen,Compacto,No,Manual,Sí,1844,171537812.1
F-150,2023,Z3814-80,Alemania,Europa,Ford,Pickup Grande,No,Automático,Sí,2340,188197531.93
3 Series,2016,T4816-38,México,América,BMW,Sedan Premium,No,Manual,No,3087,223199854.17
Camry,2022,V2242-60,Australia,Oceanía,Toyota,Sedan Mediano,No,Automático,No,1663,73081881.77
3 Series,2016,B9690-98,Francia,Europa,BMW,Sedan Premium,No,Automático,No,1503,39910005.44
F-150,2024,B8332-66,Reino Unido,Europa,Ford,Pickup Grande,No,Manual,No,1578,50495034.73
Fusion,2022,E8854-69,España,Europa,Ford,Sedan,No,Automático,No,2229,15209687.07
Sprinter,2023,L2714-40,India,Asia,Mercedes-Benz,Comercial,No,Manual,Sí,3866,211356105.19
Camry,2020,O3044-59,Corea del Sur,Asia,Toyota,Sedan Mediano,No,Automático,No,1638,160986606.29
Q5,2021,D5259-46,Argentina,América,Audi,SUV Premium,No,Automático,No,1222,144467282.51
Fusion,2022,U4479-96,Alemania,Europa,Ford,Sedan,No,Manual,No,3739,157680130.96
C-Class,2016,D1518-65,Reino Unido,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,3062,198280648.73
Model 3,2022,U9919-10,Alemania,Europa,Tesla,Sedan,Sí,Manual,No,3913,149622845.72
Q5,2016,L2767-78,Argentina,América,Audi,SUV Premium,No,Automático,No,2030,190800421.62
Sprinter,2016,G2945-16,China,Asia,Mercedes-Benz,Comercial,No,Automático,No,2496,249934301.67
Tucson,2021,V6606-73,China,Asia,Hyundai,SUV Compacto,No,Automático,No,1885,24793201.3
Mustang,2021,S3085-48,Argentina,América,Ford,Deportivo,No,Automático,No,523,43990541.09
Golf,2016,B9671-99,Canadá,América,Volkswagen,Compacto,No,Manual,No,515,178539348.75
Golf,2017,G7774-90,Italia,Europa,Volkswagen,Compacto,No,Automático,No,520,60847222.38
Fusion,2024,S8617-80,Japón,Asia,Ford,Sedan,No,Automático,Sí,2702,70494064.23
Civic,2015,M1759-13,Japón,Asia,Honda,Compacto,No,Manual,No,123,134777469.86
Golf,2021,G8534-14,Estados Unidos,América,Volkswagen,Compacto,Sí,Automático,No,3423,183976984.45
RAV4,2021,L6189-81,España,Europa,Toyota,SUV Compacto,No,Automático,No,1892,4413832.97
Silverado,2017,L1048-48,Brasil,América,Chevrolet,Pickup Grande,No,Manual,No,1615,40495732.84
Cherokee,2016,K5951-97,Sudáfrica,África,Jeep,SUV Mediano,No,Automático,No,632,238533174.19
Kona,2017,H4378-96,Argentina,América,Hyundai,SUV Subcompacto,No,Automático,No,4730,161499832.86
Corolla,2024,W6389-43,Argentina,América,Toyota,Compacto,No,Automático,Sí,2343,211426065.92
Fusion,2015,W9012-10,Japón,Asia,Ford,Sedan,No,Automático,No,4683,212541945.21
Silverado,2023,O8141-62,Sudáfrica,África,Chevrolet,Pickup Grande,No,Manual,Sí,3337,244256732.42
Focus,2015,U1599-18,Estados Unidos,América,Ford,Compacto,No,Automático,No,3479,80993589.8
Golf,2021,R6459-33,Reino Unido,Europa,Volkswagen,Compacto,No,Automático,No,2991,72908390.81
Cherokee,2018,U6331-60,Brasil,América,Jeep,SUV Mediano,No,Manual,No,3521,232231253.05
